gas,v1
1886.5587793713505, 0.013096591315189476
1887.907818410081, 0.013675555297279818
1891.0179839025511, 0.029941003543489053
1892.0992080140388, 0.028544524345605282
1893.3418697376417, 0.027203830524241246
1894.5848608256358, 0.02729257816114261
1895.827839863713, 0.027329029159326668
1897.0708189017905, 0.027365480157510724
1898.3139616179037, 0.028112293831600743
1899.5574186360122, 0.030223178165559084
1900.8005332356531, 0.030847966349309752
1902.144245886039, 0.035354986671610744
1903.287736362284, 0.03632438741215993
1904.4845222524852, 0.03204594296494556
1905.8406639667128, 0.03279999261404698
1907.12887337149, 0.03297286875309302
1908.3728806691306, 0.03747196625512794
1909.6163246331625, 0.039526195897143124
1910.85930367124, 0.03956264689532718
1912.1022706594006, 0.03954680125479437
1913.3456081825013, 0.04113907725480925
1914.5888523187473, 0.042326054304767435
1915.8325573643092, 0.04551337778565068
1917.0751056178624, 0.04368022394970206
1918.3179039071883, 0.04293222536713137
1919.561212309657, 0.04439811782357994
1920.803817800315, 0.04281337302153698
1922.047700582149, 0.046772071923496306
1923.292133141435, 0.05311680496691884
1924.5831743125123, 0.05740607325185865
1925.6746989709789, 0.06218187812471232
1927.0240104353552, 0.0659865378084199
1928.3388061977475, 0.0679759412765657
1929.6183776293883, 0.07884048994505033
1930.8451135135676, 0.08466740660183603
1931.9501184738122, 0.0852844236120347
1933.2703180287667, 0.08573471339419148
1934.4887566309285, 0.09602958105250847
1935.7321483786548, 0.09785719192674969
1936.9132274247154, 0.10948105805369357
1937.9965084856835, 0.11701173960060851
1939.2392465254259, 0.11600225782445239
1940.142511297865, 0.11290404347797289
1941.7247226049103, 0.1139832942721406
1942.9684156005553, 0.11711832111430698
1944.2122963740699, 0.12106830390981349
1945.456977462889, 0.12849165512677407
1946.7013106820873, 0.13440525219029764
1947.8741662235216, 0.14536828079919917
1948.508051148326, 0.16181811659066891
1949.6492746165482, 0.1779499158689255
1950.7818231249576, 0.18912628395043374
1951.5782799456792, 0.2128899749910932
1952.9195127651474, 0.21899776650472202
1954.0683349935305, 0.23074373415124227
1955.3120611264467, 0.23402257674988047
1956.5577197647624, 0.24568849278275784
1957.691531649563, 0.2623479144021309
1958.9376611670664, 0.276057446108682
1960.1828166496318, 0.28553966618560833
1961.4276117823058, 0.2934579677332836
1962.6709337409309, 0.29498269390828913
1963.9140418135335, 0.2955791547460678
1965.1572216835566, 0.29648721638953524
1966.403268429608, 0.3098375199944229
1967.5347279985165, 0.31628789064139806
1968.7787137067226, 0.3206932899990652
1970.0236116940432, 0.3290579807129318
1971.2656519144991, 0.32501996323393256
1973.6178528639396, 0.3003831399112794
1974.7899300149068, 0.2839782781388758
1975.999352186592, 0.2721256787706702
1977.2397314551295, 0.26087912996566087
1978.482903291875, 0.2617523271833171
1979.7268141901811, 0.2658330515756161
1980.9693166827412, 0.26380129502834904
1982.2091334783786, 0.2501136138375144
1983.4508811297246, 0.2448058464220466
1984.7348703021985, 0.23892312475980848
1985.6815496695065, 0.2267186402079625
1986.8374017844862, 0.2300530128396473
1988.0807452608196, 0.23167112586950422
1989.2728747649276, 0.23170438656854742
1990.567576955939, 0.2355355341728551
1991.891009497763, 0.24522667277124477
1993.0570757710261, 0.25097524313508535
1994.3009555403808, 0.25492086787736534
1995.5441474603208, 0.2558812261595501
1996.78652500672, 0.25330720327511036
1998.0279857552864, 0.2467542777949523
2001.7116658925856, 0.24661171723814246
2005.369358376083, 0.23176442234998063
2006.5516525850746, 0.23249478518419264
1889.405748920557, 0.025194434871919524
