coal,v1
1815.5512381685674, 0.1478595507742697
1817.45484926936, 0.14702415346373554
1819.3586225922227, 0.14652281774417286
1821.2702474632656, 0.16219006302764727
1823.1772652275251, 0.1683699591275215
1825.0827256599139, 0.17134286395406595
1826.9886078696845, 0.17518432891713742
1828.8932896361382, 0.17655373810701713
1830.7980362914197, 0.17805677193328562
1832.7096936068767, 0.1937908295349543
1834.3551445057194, 0.19599998126938212
1836.2716360388579, 0.22168907428201146
1837.4935867577242, 0.24290729692278146
1839.3178096219765, 0.25681222652829705
1840.881718438683, 0.2693263217123577
1842.445418684157, 0.2814109091365973
1843.745863795959, 0.2860481254950621
1844.1842121619882, 0.2976157120103722
1847.3142139996987, 0.3271418030855069
1848.7884313927177, 0.33317901908130776
1849.6626299049005, 0.3511696436109615
1850.3641835792519, 0.37008199656053353
1851.06591569788, 0.3893618172601745
1851.767647816508, 0.40864163795981545
1852.7269005186395, 0.42355975248437683
1853.6030959072536, 0.44566251612194574
1854.1310530409635, 0.4635367694910678
1854.659723951781, 0.48288089386046595
1855.6196798093363, 0.499247006304942
1856.92538844794, 0.5147233282133323
1858.4872022824875, 0.5229232565654137
1859.7883611713964, 0.5290303439241546
1860.4019418172713, 0.5450044843955473
1861.0165931288072, 0.563183431367354
1861.7168976932207, 0.5795235100664429
1862.5040153983114, 0.5964132608682624
1863.2042307405866, 0.6125696056923167
1863.7317120228915, 0.6294639450612547
1864.4322842537204, 0.646355225385447
1865.737711205287, 0.6612514732026569
1867.132146162136, 0.6812172464484465
1868.2649104314435, 0.6969984759105677
1869.8286987403267, 0.7092644110556207
1871.2229455195745, 0.7288426728558828
1872.1824166035112, 0.7442104979126716
1873.66100047391, 0.7592395383987977
1875.56957557004, 0.7686264257720015
1877.471564450134, 0.7644504125517488
1878.7747430038128, 0.7747165667180891
1879.4748691239495, 0.7906891776671089
1880.7813488967495, 0.807753485209726
1882.3442148572929, 0.8181200415946819
1883.9096717360374, 0.8338220388183022
1885.813315281244, 0.8330534538259622
1887.5459335056164, 0.8365416454700759
1889.1994219672797, 0.8553024354985216
1891.0222983883523, 0.8664346538989711
1892.9246117125863, 0.8629267638606621
1894.829066368142, 0.8638284868231814
1896.7404316838733, 0.8789612335611008
1898.650401889804, 0.8912210506166623
1900.5592689856596, 0.9012092488536154
1902.4633343082478, 0.9013092239978022
1904.370708961061, 0.9082240555978145
1906.2796085013306, 0.918279066152962
1908.1868209320737, 0.9248598361620023
1910.0910484767319, 0.9252938728971609
1911.9977093524376, 0.9307388334968971
1913.9060573376698, 0.9396580346427403
1915.811095992677, 0.9417623793327582
1917.7162968697544, 0.9442007856137478
1919.613711087479, 0.9306042355280892
1921.5216697397434, 0.9387216888556001
1923.423062453731, 0.9333179992885259
1923.4178726993466, 0.9226308122240187
1925.3284377195332, 0.9361155217798103
1927.2317243761863, 0.9346120012873322
1929.1379959189244, 0.939255214068736
1931.0347936927838, 0.9243892299373846
1932.936750128464, 0.9201464043989375
1934.8406207845685, 0.9198455056339581
1936.2254846392964, 0.9201016450124093
1936.9269371952241, 0.9388057662369422
1938.1476150115825, 0.9574027189272197
1940.0528483330736, 0.9599079375264038
1941.9566216559363, 0.9594066018068412
1943.686049512935, 0.9563249154951755
1944.6283542574408, 0.9363423429953245
1945.8928104030476, 0.9177889634840725
1945.4773029044525, 0.902336280890212
1947.654185193001, 0.929574171733742
1949.5620140676097, 0.9374243757884754
1951.4635162814943, 0.9322461777953072
1953.3642073850299, 0.9253976718472797
1955.1751247951138, 0.9119028697612857
1956.8118553564686, 0.8961543550832497
1958.0153152828273, 0.8792947528668676
1958.698804448221, 0.8610071205844525
1959.2947785921153, 0.8407244430490353
1960.0656400235869, 0.8241378818195672
1960.8354664782528, 0.8054200076396988
1961.5190865027828, 0.7874018517073342
1962.2021711944824, 0.7682812925247628
1962.884988219767, 0.7486095317170878
1963.4821817328861, 0.7308378838071421
1963.9936030302767, 0.7146601256698684
1964.4190736676615, 0.6997087895551974
1964.842640899427, 0.6808377974397904
1965.265791761213, 0.6611093805742223
1965.6897753629576, 0.6430958132089764
1966.1997691061333, 0.6239783130711505
1966.798003544201, 0.6083502270366075
1967.4825960900398, 0.5923347703421191
1968.1667603696142, 0.5754373910474652
1968.8511833933899, 0.5590728399904112
1969.4474549444126, 0.5394026087051091
1969.8709032133265, 0.520286638089656
1970.294748025078, 0.5019872624743563
1970.8919613653393, 0.4842564443144183
1971.575046057039, 0.4651358851318468
1972.344247956736, 0.4451318738267367
1973.7225255954284, 0.4318251126117316
1975.3589123361185, 0.41536857295060803
1976.9093522019846, 0.40014625008254345
1978.6382988001762, 0.3960735143843279
1979.8587862759725, 0.4142785014745318
1980.559090840386, 0.43061858017362065
1981.5201279852856, 0.4492113721988721
1983.08238213688, 0.45831803915502
1984.8992303858372, 0.45703652883495605
1986.6203611247035, 0.4368687056837176
1988.4349642202142, 0.43096378294460347
1989.815869856438, 0.4230688195033421
1990.498597659584, 0.40321332482063243
1991.0085200250492, 0.383948837582779
1991.6057730195942, 0.3662996789228563
1992.3756173186878, 0.3476185515179949
1993.5790296599057, 0.33066095790159444
1994.8695188427878, 0.31479607206302673
1996.1591356314275, 0.29713467722412157
1997.8836211226983, 0.2838752477741805
1999.5270483012198, 0.28191698116123465
