coal,v1,oil,v2
1498.7245590230666, 92.17910447761194,1860.0006784260518, 99.88059701492537
1508.9701492537315, 90.56716417910448,1908.4179104477612, 99.16417910447761
1558.740841248304, 90.74626865671641,1925.487788331072, 97.01492537313433
1587.5074626865671, 79.28358208955224,1937.8032564450475, 93.25373134328358
1611.452510176391, 72.11940298507463,1948.7571234735415, 89.31343283582089
1647.6886024423338, 63.34328358208955,1957.0183175033922, 82.32835820895522
1685.245590230665, 58.328358208955216,1959.814789687924, 76.23880597014926
1703.6831750339213, 55.82089552238806,1961.2272727272727, 71.94029850746269
1737.1553595658074, 50.26865671641791,1964.6933514246948, 66.92537313432835
1750.1261872455902, 48.83582089552239,1964.6933514246948, 66.92537313432835
1757.685210312076, 43.641791044776106,1965.4382632293082, 61.373134328358205
1795.313432835821, 32.35820895522387,1967.5549525101765, 55.1044776119403
1816.4925373134329, 28.59701492537313,1969.6736770691996, 48.656716417910445
1821.3018995929444, 25.37313432835819,1972.4905020352783, 40.77611940298507
1828.8141112618725, 24.29850746268656,1973.909090909091, 35.940298507462686
1842.509497964722, 19.104477611940297,1985.5183175033922, 34.32835820895522
1853.4715061058346, 14.447761194029837,1992.3914518317504, 29.492537313432834
1880.7971506105835, 9.791044776119392,1995.8636363636365, 23.94029850746267
1904.0176390773406, 6.388059701492523,2001.4158751696066, 15.34328358208954
1919.0237449118047, 5.850746268656707,
1936.089552238806, 4.0597014925373145,
1967.4816824966078, 1.5522388059701484,
1991.3554952510176, 0.6567164179104452,
2001.5766621438265, 1.1940298507462614,
1665.450474898236, 60.298507462686565,
1629.918588873813, 67.1044776119403,
1569.0271370420626, 85.55223880597015,
1597.7713704206242, 76.0597014925373,
1530.1024423337858, 90.92537313432835,
1776.1594301221166, 37.91044776119402,
